cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
MCP_1;0;0.00;116.00;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;210;57.00;843.00;8;small-for-gestational-age;20;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;0.85;0.00;5.08;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;12.14;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;4.23;0.00;32.98;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;0;0.00;9.06;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;106.75;8.50;195.90;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;16.71;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;58.44;0.00;248.50;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;1.21;0.00;3.54;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.14;0.00;1.75;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;3.8;0.00;17.22;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;0;0.00;15.30;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
